1757116800,ADAUSDT,15m,HOLD,
1757116802,LINKUSDT,1m,HOLD,
1757116803,LINKUSDT,5m,HOLD,
1757116803,LINKUSDT,15m,HOLD,
1757116804,PEPEUSDT,1m,HOLD,
1757116804,PEPEUSDT,5m,HOLD,
1757116805,PEPEUSDT,15m,HOLD,
1757116805,PLUMEUSDT,1m,HOLD,
1757116805,PLUMEUSDT,5m,HOLD,
1757116806,PLUMEUSDT,15m,HOLD,
1757116806,CFXUSDT,1m,HOLD,
1757116807,CFXUSDT,5m,HOLD,
1757116807,CFXUSDT,15m,HOLD,
1757116808,ARBUSDT,1m,HOLD,
1757116808,ARBUSDT,5m,HOLD,
1757116808,ARBUSDT,15m,HOLD,
1757116809,PENGUUSDT,1m,HOLD,
1757116809,PENGUUSDT,5m,HOLD,
1757116809,PENGUUSDT,15m,HOLD,
1757116810,BTCUSDT,1m,HOLD,
1757116810,BTCUSDT,5m,HOLD,
1757116810,BTCUSDT,15m,HOLD,
1757116811,ETHUSDT,1m,HOLD,
1757116811,ETHUSDT,5m,HOLD,
1757116811,ETHUSDT,15m,HOLD,
1757116812,BNBUSDT,1m,HOLD,
1757116812,BNBUSDT,5m,HOLD,
1757116812,BNBUSDT,15m,HOLD,
1757116813,SOLUSDT,1m,HOLD,
1757116813,SOLUSDT,5m,HOLD,
1757116813,SOLUSDT,15m,HOLD,
1757116814,XRPUSDT,1m,HOLD,
1757116814,XRPUSDT,5m,HOLD,
1757116814,XRPUSDT,15m,HOLD,
1757116814,USDCUSDT,1m,HOLD,
1757116815,USDCUSDT,5m,HOLD,
1757116815,USDCUSDT,15m,HOLD,
1757116815,FDUSDUSDT,1m,HOLD,
1757116816,FDUSDUSDT,5m,HOLD,
1757116816,FDUSDUSDT,15m,HOLD,
1757116816,DOGEUSDT,1m,HOLD,
1757116817,DOGEUSDT,5m,HOLD,
1757116817,DOGEUSDT,15m,HOLD,
1757116817,PYTHUSDT,1m,HOLD,
1757116818,PYTHUSDT,5m,HOLD,
1757116818,PYTHUSDT,15m,HOLD,
1757116818,SUIUSDT,1m,HOLD,
1757116819,SUIUSDT,5m,HOLD,
1757116819,SUIUSDT,15m,HOLD,
1757116819,ENAUSDT,1m,HOLD,
1757116820,ENAUSDT,5m,HOLD,
1757116820,ENAUSDT,15m,HOLD,
1757116820,BONKUSDT,1m,HOLD,
1757116821,BONKUSDT,5m,HOLD,
1757116821,BONKUSDT,15m,HOLD,
1757116821,TRXUSDT,1m,HOLD,
1757116822,TRXUSDT,5m,HOLD,
1757116822,TRXUSDT,15m,HOLD,
1757116822,ADAUSDT,1m,HOLD,
1757116823,ADAUSDT,5m,HOLD,
1757116823,ADAUSDT,15m,HOLD,
1757116823,LINKUSDT,1m,HOLD,
1757116824,LINKUSDT,5m,HOLD,
1757116824,LINKUSDT,15m,HOLD,
1757116824,PEPEUSDT,1m,HOLD,
1757116825,PEPEUSDT,5m,HOLD,
1757116825,PEPEUSDT,15m,HOLD,
1757116825,PLUMEUSDT,1m,HOLD,
1757116825,PLUMEUSDT,5m,HOLD,
1757116826,PLUMEUSDT,15m,HOLD,
1757116826,CFXUSDT,1m,HOLD,
1757116826,CFXUSDT,5m,HOLD,
1757116827,CFXUSDT,15m,HOLD,
1757116827,ARBUSDT,1m,HOLD,
1757116827,ARBUSDT,5m,HOLD,
1757116828,ARBUSDT,15m,HOLD,
1757116828,PENGUUSDT,1m,HOLD,
1757116828,PENGUUSDT,5m,HOLD,
1757116829,PENGUUSDT,15m,HOLD,
1757116829,BTCUSDT,1m,HOLD,
1757116829,BTCUSDT,5m,HOLD,
1757116830,BTCUSDT,15m,HOLD,
1757116830,ETHUSDT,1m,HOLD,
1757116830,ETHUSDT,5m,HOLD,
1757116831,ETHUSDT,15m,HOLD,
1757116831,BNBUSDT,1m,HOLD,
1757116831,BNBUSDT,5m,HOLD,
1757116832,BNBUSDT,15m,HOLD,
1757116832,SOLUSDT,1m,HOLD,
1757116832,SOLUSDT,5m,HOLD,
1757116833,SOLUSDT,15m,HOLD,
1757116833,XRPUSDT,1m,HOLD,
1757116833,XRPUSDT,5m,HOLD,
1757116834,XRPUSDT,15m,HOLD,
1757116834,USDCUSDT,1m,HOLD,
1757116834,USDCUSDT,5m,HOLD,
1757116834,USDCUSDT,15m,HOLD,
1757116835,FDUSDUSDT,1m,HOLD,
1757116835,FDUSDUSDT,5m,HOLD,
1757116835,FDUSDUSDT,15m,HOLD,
1757116836,DOGEUSDT,1m,HOLD,
1757116836,DOGEUSDT,5m,HOLD,
1757116836,DOGEUSDT,15m,HOLD,
1757116837,PYTHUSDT,1m,HOLD,
1757116837,PYTHUSDT,5m,HOLD,
1757116837,PYTHUSDT,15m,HOLD,
1757116838,SUIUSDT,1m,HOLD,
1757116838,SUIUSDT,5m,HOLD,
1757116838,SUIUSDT,15m,HOLD,
1757116838,ENAUSDT,1m,HOLD,
1757116839,ENAUSDT,5m,HOLD,
1757116839,ENAUSDT,15m,HOLD,
1757116839,BONKUSDT,1m,HOLD,
1757116840,BONKUSDT,5m,HOLD,
1757116840,BONKUSDT,15m,HOLD,
1757116840,TRXUSDT,1m,HOLD,
1757116841,TRXUSDT,5m,HOLD,
1757116841,TRXUSDT,15m,HOLD,
1757116841,ADAUSDT,1m,HOLD,
1757116842,ADAUSDT,5m,HOLD,
1757116842,ADAUSDT,15m,HOLD,
1757116842,LINKUSDT,1m,HOLD,
1757116843,LINKUSDT,5m,HOLD,
1757116843,LINKUSDT,15m,HOLD,
1757116843,PEPEUSDT,1m,HOLD,
1757116844,PEPEUSDT,5m,HOLD,
1757116844,PEPEUSDT,15m,HOLD,
1757116844,PLUMEUSDT,1m,HOLD,
1757116845,PLUMEUSDT,5m,HOLD,
1757116845,PLUMEUSDT,15m,HOLD,
1757116845,CFXUSDT,1m,HOLD,
1757116845,CFXUSDT,5m,HOLD,
1757116846,CFXUSDT,15m,HOLD,
1757116846,ARBUSDT,1m,HOLD,
1757116846,ARBUSDT,5m,HOLD,
1757116847,ARBUSDT,15m,HOLD,
1757116847,PENGUUSDT,1m,HOLD,
1757116847,PENGUUSDT,5m,HOLD,
1757116848,PENGUUSDT,15m,HOLD,
1757116848,BTCUSDT,1m,HOLD,
1757116848,BTCUSDT,5m,HOLD,
1757116849,BTCUSDT,15m,HOLD,
1757116849,ETHUSDT,1m,HOLD,
1757116849,ETHUSDT,5m,HOLD,
1757116849,ETHUSDT,15m,HOLD,
1757116850,BNBUSDT,1m,HOLD,
1757116850,BNBUSDT,5m,HOLD,
1757116850,BNBUSDT,15m,HOLD,
1757116851,SOLUSDT,1m,HOLD,
1757116851,SOLUSDT,5m,HOLD,
1757116851,SOLUSDT,15m,HOLD,
1757116852,XRPUSDT,1m,HOLD,
1757116852,XRPUSDT,5m,HOLD,
1757116852,XRPUSDT,15m,HOLD,
1757116853,USDCUSDT,1m,HOLD,
1757116853,USDCUSDT,5m,HOLD,
1757116853,USDCUSDT,15m,HOLD,
1757116854,FDUSDUSDT,1m,HOLD,
1757116854,FDUSDUSDT,5m,HOLD,
1757116855,FDUSDUSDT,15m,HOLD,
1757116855,DOGEUSDT,1m,HOLD,
1757116855,DOGEUSDT,5m,HOLD,
1757116856,DOGEUSDT,15m,HOLD,
1757116856,PYTHUSDT,1m,HOLD,
1757116856,PYTHUSDT,5m,HOLD,
1757116856,PYTHUSDT,15m,HOLD,
1757116857,SUIUSDT,1m,HOLD,
1757116857,SUIUSDT,5m,HOLD,
