score,score_bucket,trade_count,winrate,expectancy,profit_factor
score_C,0-0.2,0,,,
score_C,0.2-0.4,753,0.05976095617529881,-0.7910108481017184,0.08938639009662942
score_C,0.4-0.6,508,0.07283464566929133,-1.1594993848573345,0.08880223697627541
score_C,0.6-0.8,34,0.029411764705882353,-0.8776708262381999,0.11704781016587838
score_C,0.8-1.0,0,,,
score_S,0-0.2,7567,0.03145235892691952,-0.7910955312347183,0.05039759405233442
score_S,0.2-0.4,0,,,
score_S,0.4-0.6,0,,,
score_S,0.6-0.8,0,,,
score_S,0.8-1.0,0,,,
score_H,0-0.2,0,,,
score_H,0.2-0.4,0,,,
score_H,0.4-0.6,7567,0.03145235892691952,-0.7910955312347183,0.05039759405233442
score_H,0.6-0.8,0,,,
score_H,0.8-1.0,0,,,
